category;background_color;icon
bierchen;#FFFFCC;event_category_bierchen.png
freizeitpark;#FFFFCC;event_category_freizeitpark.png
fussball;#FFFFCC;event_category_fussball.png
kaffee;#FFFFCC;event_category_kaffee.png
kirche;#FFFF66;event_category_kirche.png
klettern;#FFFFCC;event_category_klettern.png
kränzen;#FFFF66;event_category_kränzen.png
musik;#F2F2F2;event_category_musik.png
nikolaus;#FFFFCC;event_category_nikolaus.png
schiessen;#FFFFCC;event_category_schiessen.png
schuetzenfest;#FFFF66;event_category_schuetzenfest.png
schweineblut;#F2F2F2;event_category_schweineblut.png
sf_sonstige;#F2F2F2;event_category_sf_sonstige.png
stmartin;#F2F2F2;event_category_stmartin.png
tuppen;#FFFFCC;event_category_tuppen.png
mitglieder;#FFFF66;event_category_versammlung.png
vorstand;#FFFFCC;event_category_versammlung.png
weinprobe;#F2F2F2;event_category_weinprobe.png
