date;start_time;description;location;category;activity
01.01.2019;;Neujahr;;holiday;feiertag
28.02.2019;;Altweiber;;info;
04.03.2019;;Rosenmontag;;info;
06.03.2019;;Ascher-mittwoch;;info;
19.04.2019;;Karfreitag;;holiday;feiertag
21.04.2019;;Ostersonntag;;info;
10.06.2019;;Pfingstmontag;;holiday;feiertag
20.06.2019;;Fronleichnam;;holiday;feiertag
03.10.2019;;Tag der Einheit;;holiday;feiertag
01.11.2019;;Allerheiligen;;holiday;feiertag
25.12.2019;;;1. Weihnachts-feiertag;holiday;feiertag
26.12.2019;;;2. Weihnachts-feiertag;holiday;feiertag
31.12.2019;;Sylvester;;info;feiertag
01.01.2020;;Neujahr;;holiday;feiertag
