date;start_time;description;location;category;activity
04.01.2019;;Neujahrsschießen;Schießstand;event;schiessen
05.01.2019;;Reuver;Neujahrskonzert;info;musik
25.01.2019;19:00;JHV;Kirche;highlight;versammlung
19.06.2019;20:00;Mitglieder;Schießstand;highlight;versammlung
06.09.2019;20:00;Mitglieder;Schießstand;highlight;versammlung
24.01.2020;19:00;JHV;Kirche;highlight;mitglieder
03.02.2019;10:30;Vorstand;Schießstand;event;versammlung
24.03.2019;10:30;Vorstand;Schießstand;event;versammlung
28.04.2019;10:30;Vorstand;Schießstand;event;versammlung
09.06.2019;10:30;Vorstand;Schießstand;event;versammlung
04.08.2019;10:30;Vorstand;Schießstand;event;versammlung
29.09.2019;10:30;Vorstand;Schießstand;event;versammlung
03.11.2019;10:30;Vorstand;Schießstand;event;versammlung
03.11.2019;20:00;Vorstand;Schießstand;event;versammlung
29.01.2019;18:00;Kränzen;Schießstand;event;kränzen
05.02.2019;18:00;Kränzen;Schießstand;event;kränzen
12.02.2019;18:00;Kränzen;Schießstand;event;kränzen
19.02.2019;18:00;Kränzen;Schießstand;event;kränzen
26.02.2019;18:00;Kränzen;Schießstand;event;kränzen
05.03.2019;18:00;Kränzen;Schießstand;event;kränzen
12.03.2019;18:00;Kränzen;Schießstand;event;kränzen
19.03.2019;18:00;Kränzen;Schießstand;event;kränzen
26.03.2019;18:00;Kränzen;Schießstand;event;kränzen
02.04.2019;18:00;Kränzen;Schießstand;event;kränzen
23.04.2018;11:00;Osterschießen;Schießstand;event;schiessen
01.05.2019;18:00;Maiandacht;Kirche;highlight;kirche
30.05.2019;;SF Börholz;Klompenball;holiday;sf_sonstige
01.06.2019;;SF Börholz;Schützenball;highlight;schuetzenfest
02.06.2019;;SF Börholz;Festumzug;highlight;schuetzenfest
16.06.2019;;Königsgalaball;Brüggen;highlight;schuetzenfest
22.06.2019;;Sommerfest GV;Genholt;info;musik
23.06.2019;;Sommerfest GV;Genholt;info;musik
20.06.2019;;Fronleichnam;;highlight;kirche
28.06.2019;;Lüttelbracht;Fässchenparty;highlight;schuetzenfest
29.06.2019;;Lüttelbracht;Schützenball;highlight;schuetzenfest
30.06.2019;;Lüttelbracht;Bezirksschützenfest;highlight;schuetzenfest
01.07.2019;;Lüttelbracht;Königsgalaball;highlight;schuetzenfest
07.07.2019;;Pfarrfest;Born;highlight;kirche
14.09.2019;;Kevelaer;Bolzer;event;fussball
19.10.2019;;Senioren;;event;kaffee
26.10.2019;;Schweineblut;;info;schweineblut
09.11.2019;;St. Martin;Lüttelbracht-Genholt;info;stmartin
17.11.2019;;Volkstrauertag;;highlight;kirche
27.11.2019;19:00;Frauen;Dalmacija Grill;event;versammlung
15.12.2019;;MGV;Adventssingen;info;musik
04.01.2020;;Reuver;Neujahrskonzert;info;musik
24.01.2020;19:00;JHV;Kirche;highlight;versammlung
